metric,experiment,run,crossover_type,crossover_label,first_generation,last_generation,first_value,last_value,last_minus_first
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,4,41,0.5180760347456518,0.0,-0.5180760347456518
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,1,49,0.41794251569448,0.0,-0.41794251569448
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,1,43,0.4785957771057342,0.3666322368870812,-0.11196354021865301
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,arithmetic recombination,1,33,0.6705067032498994,0.0,-0.6705067032498994
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,arithmetic recombination,2,31,0.0,0.0,0.0
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,arithmetic recombination,6,49,0.0,0.0,0.0
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,arithmetic recombination,1,47,0.724162277819603,0.0,-0.724162277819603
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,arithmetic recombination,1,49,0.704726518133579,0.2567530849599131,-0.4479734331736659
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,9,arithmetic_recombination,arithmetic recombination,14,38,0.4415816825353975,0.468596357200262,0.027014674664864513
elite_lineage_parent_child_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,10,arithmetic_recombination,arithmetic recombination,1,29,0.2975985143029381,0.0,-0.2975985143029381
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,1,homologous_gene_block_recombination,homologous recombination,2,48,0.3180572265252326,0.2246384405668512,-0.0934187859583814
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,2,homologous_gene_block_recombination,homologous recombination,1,43,0.4841310499438951,0.0,-0.4841310499438951
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,3,homologous_gene_block_recombination,homologous recombination,1,37,0.505988949814461,0.0,-0.505988949814461
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,4,homologous_gene_block_recombination,homologous recombination,6,35,0.9679547614478982,0.0,-0.9679547614478982
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,5,homologous_gene_block_recombination,homologous recombination,2,48,0.4527902492132116,0.0,-0.4527902492132116
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,6,homologous_gene_block_recombination,homologous recombination,8,47,0.0,0.0,0.0
elite_lineage_parent_child_distance,flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,7,homologous_gene_block_recombination,homologous recombination,1,42,0.8574870708025867,0.0,-0.8574870708025867
