metric,response_column,crossover_type,crossover_label,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
fitness,fitness_population_mean,arithmetic_recombination,arithmetic recombination,10,42.187074609252626,20.244548837602096,31.391235387370777,28.710711796853378,58.974658426052414,30.263946629199037,18.315149425756907,78.65858693085042,27.704996790379848,56.6691524281254
fitness,fitness_population_mean,homologous_gene_block_recombination,homologous recombination,10,78.01744809025564,11.46388216956947,79.73653758849419,73.1823711624257,87.3801416027369,14.197770440311203,59.19229152112474,90.2261439818605,69.81668081122757,86.21821536928371
fitness,fitness_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,59.77484036845582,10.154817651512111,57.00098495560198,52.58265146243525,66.02664628883139,13.443994826396136,47.562570522024046,80.59847739488688,52.51052143275755,67.03915930415408
age,age_population_mean,arithmetic_recombination,arithmetic recombination,10,7.164,3.686151862790728,6.4,5.43,10.79,5.359999999999999,1.68,11.64,4.527085808562714,9.800914191437286
age,age_population_mean,homologous_gene_block_recombination,homologous recombination,10,7.196,3.6247764682038595,5.8,4.58,8.7,4.119999999999999,3.64,13.84,4.602991120935995,9.789008879064005
age,age_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,10.632000000000001,3.3924255498258336,10.72,8.74,11.77,3.0299999999999994,6.36,17.36,8.20520495500214,13.058795044997863
novelty_weighted,novelty_weighted_population_mean,arithmetic_recombination,arithmetic recombination,10,42.187074609252626,20.244548837602096,31.391235387370777,28.710711796853378,58.974658426052414,30.263946629199037,18.315149425756907,78.65858693085042,27.704996790379848,56.6691524281254
novelty_weighted,novelty_weighted_population_mean,homologous_gene_block_recombination,homologous recombination,10,78.01744809025564,11.46388216956947,79.73653758849419,73.1823711624257,87.3801416027369,14.197770440311203,59.19229152112474,90.2261439818605,69.81668081122757,86.21821536928371
novelty_weighted,novelty_weighted_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,59.77484036845582,10.154817651512111,57.00098495560198,52.58265146243525,66.02664628883139,13.443994826396136,47.562570522024046,80.59847739488688,52.51052143275755,67.03915930415408
num_voxels,num_voxels_population_mean,arithmetic_recombination,arithmetic recombination,10,11.815999999999999,5.893852164190525,11.04,6.75,17.52,10.77,4.0,20.0,7.599792151682793,16.032207848317206
num_voxels,num_voxels_population_mean,homologous_gene_block_recombination,homologous recombination,10,12.516,6.0690969491167115,12.440000000000001,8.52,14.620000000000001,6.100000000000001,4.0,23.0,8.174429584553675,16.857570415446325
num_voxels,num_voxels_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,12.78,4.3680150589891005,13.16,8.91,15.34,6.43,7.0,20.96,9.655310262247315,15.904689737752683
genome_size,genome_size_population_mean,arithmetic_recombination,arithmetic recombination,10,301.672,0.84638840571769,301.48,301.0,302.0,1.0,300.8,303.0,301.0665302088517,302.27746979114835
genome_size,genome_size_population_mean,homologous_gene_block_recombination,homologous recombination,10,298.82399999999996,6.793125937298679,296.0,296.0,301.25,5.25,289.04,310.16,293.9644904477478,303.68350955225213
genome_size,genome_size_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,303.104,3.178941822542692,303.78,300.57,305.63,5.060000000000002,297.88,306.84,300.8299220136226,305.3780779863774
displacement,displacement_population_mean,arithmetic_recombination,arithmetic recombination,10,42.187074609252626,20.244548837602096,31.391235387370777,28.710711796853378,58.974658426052414,30.263946629199037,18.315149425756907,78.65858693085042,27.704996790379848,56.6691524281254
displacement,displacement_population_mean,homologous_gene_block_recombination,homologous recombination,10,78.01744809025564,11.46388216956947,79.73653758849419,73.1823711624257,87.3801416027369,14.197770440311203,59.19229152112474,90.2261439818605,69.81668081122757,86.21821536928371
displacement,displacement_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,59.77484036845582,10.154817651512111,57.00098495560198,52.58265146243525,66.02664628883139,13.443994826396136,47.562570522024046,80.59847739488688,52.51052143275755,67.03915930415408
bone_count,bone_count_population_mean,arithmetic_recombination,arithmetic recombination,10,0.604,1.2628644688432193,0.0,0.0,0.76,0.76,0.0,4.0,-0.2993988190691239,1.5073988190691239
bone_count,bone_count_population_mean,homologous_gene_block_recombination,homologous recombination,10,1.7,1.8191328825691773,1.5,0.25,2.0300000000000002,1.7800000000000002,0.0,5.96,0.3986707296087295,3.0013292703912704
bone_count,bone_count_population_mean,promoter_aligned_cut_and_splice,cut and splice,10,2.18,2.02537239374228,1.94,0.9500000000000001,2.96,2.01,0.0,6.68,0.7311358710107678,3.6288641289892327
bone_prop,bone_prop_population_mean,arithmetic_recombination,arithmetic recombination,10,0.043359999999999996,0.0772206535412213,0.0,0.0,0.045700000000000005,0.045700000000000005,0.0,0.2,-0.011880327792883616,0.09860032779288361
