experiment,run,crossover_type,crossover_label,generation,generation_zero_based,population_size,metric_count,distance_matrix_average,mean_pairwise_morphological_distance
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,1,0,25,8,full_n_by_n_with_diagonal,0.24539075543403033
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,2,1,25,8,full_n_by_n_with_diagonal,0.2511784643580456
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,3,2,25,8,full_n_by_n_with_diagonal,0.24101074691670551
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,4,3,25,8,full_n_by_n_with_diagonal,0.23981794682664412
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,5,4,25,8,full_n_by_n_with_diagonal,0.23849764475346
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,6,5,25,8,full_n_by_n_with_diagonal,0.2445335190649086
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,7,6,25,8,full_n_by_n_with_diagonal,0.23065696496975738
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,8,7,25,8,full_n_by_n_with_diagonal,0.2093043450826828
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,9,8,25,8,full_n_by_n_with_diagonal,0.2048605750512595
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,10,9,25,8,full_n_by_n_with_diagonal,0.20994624506341653
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,11,10,25,8,full_n_by_n_with_diagonal,0.21365397861423202
