experiment,run,fitness_population_mean,age_population_mean,novelty_weighted_population_mean,num_voxels_population_mean,genome_size_population_mean,displacement_population_mean,bone_count_population_mean,bone_prop_population_mean,fat_count_population_mean,fat_prop_population_mean,phase_muscle_count_population_mean,phase_muscle_prop_population_mean,offphase_muscle_count_population_mean,offphase_muscle_prop_population_mean,size_population_mean,symmetry_population_mean,number_of_limbs_population_mean,total_voxel_volume_population_mean,bounding_box_area_population_mean,morphological_density_population_mean,muscle_to_tissue_ratio_population_mean,actuation_energy_cost_population_mean,environmental_contact_area_population_mean,final_generation,crossover_type,crossover_label
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,57.86451715068341,6.96,57.86451715068341,5.0,303.0,57.86451715068341,0.0,0.0,0.0,0.0,3.0,0.6,2.0,0.4,5.0,0.5,2.0,5.0,8.0,0.625,0.0,5.0,4.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,25.017802637191718,1.68,25.017802637191718,11.0,301.0,25.017802637191718,0.0,0.0,2.0,0.18,6.0,0.55,3.0,0.27,11.0,0.65,3.0,11.0,20.0,0.55,4.5,9.0,1.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,61.605608656858365,5.32,61.605608656858365,15.96,302.0,61.605608656858365,0.04,0.004,3.96,0.24760000000000001,8.96,0.558,3.0,0.19039999999999999,15.96,0.5151111111111111,1.96,15.96,24.0,0.6635555555555556,2.981333333333333,11.96,5.84,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,30.518831127169534,11.52,30.518831127169534,6.0,303.0,30.518831127169534,1.0,0.17,2.0,0.33,2.0,0.33,1.0,0.17,6.0,0.5833333333333333,3.0,6.0,12.0,0.5,1.0,3.0,1.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,18.315149425756907,11.64,18.315149425756907,4.0,301.96,18.315149425756907,0.0,0.0,0.0,0.0,3.0,0.75,1.0,0.25,4.0,1.0,2.0,4.0,4.0,1.0,0.0,4.0,4.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,32.26363964757202,5.84,32.26363964757202,20.0,301.0,32.26363964757202,4.0,0.2,3.0,0.15,6.0,0.3,7.0,0.35,20.0,0.4444444444444444,1.0,20.0,36.0,0.5555555555555556,1.8571428571428568,13.0,4.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,30.001433904195924,9.44,30.001433904195924,9.0,301.0,30.001433904195924,0.0,0.0,5.0,0.56,3.0,0.33,1.0,0.11,9.0,0.6666666666666667,1.0,9.0,12.0,0.75,0.8,4.0,2.0,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,59.34470551784209,2.24,59.34470551784209,18.08,302.0,59.34470551784209,0.0,0.0,9.96,0.5556,4.04,0.2212,4.08,0.2232,18.08,0.7426666666666667,1.96,18.08,24.24,0.7466666666666667,0.816888888888889,8.12,4.08,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,9,28.28047109440586,5.76,28.28047109440586,11.08,300.96,28.28047109440586,0.0,0.0,3.84,0.3428,5.16,0.46399999999999997,2.08,0.1864,11.08,0.512,1.68,11.08,16.56,0.6691666666666667,1.9176190476190476,7.24,1.96,50,arithmetic_recombination,arithmetic recombination
flat_arithmetic_recombination_25pop_25off_50gen_1000steps,10,78.65858693085042,11.24,78.65858693085042,18.04,300.8,78.65858693085042,1.0,0.0596,2.92,0.16519999999999999,9.08,0.5032,5.04,0.2816,18.04,0.5833333333333333,0.96,18.04,24.0,0.7516666666666667,3.7,14.12,6.0,50,arithmetic_recombination,arithmetic recombination
flat_homologous_gene_block_recombination_25pop_25off_50gen_1000steps,1,76.44692616377031,4.36,76.44692616377031,15.16,296.0,76.44692616377031,0.0,0.0,6.0,0.396,6.16,0.4056,3.0,0.1984,15.16,0.5833333333333334,1.92,15.16,24.0,0.6316666666666666,1.5266666666666666,9.16,6.0,50,homologous_gene_block_recombination,homologous recombination
