metric,crossover_type,crossover_label,generation_zero_based,n_runs,mean,std,median,q25,q75,iqr,min,max,ci95_low,ci95_high
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,0,10,0.25528489132975524,0.016010876667382462,0.25464879335345963,0.24308900241933104,0.2646440985684863,0.021555096149155267,0.2333374350795818,0.2842629205797829,0.2438314001353883,0.2667383825241222
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,1,10,0.25354434110042,0.0181768706159121,0.2501221317154629,0.24374659083689842,0.2684569118332545,0.02471032099635606,0.2264107583912558,0.2792512503765778,0.2405413911767209,0.2665472910241191
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,2,10,0.2444074144254745,0.015068495595307657,0.24064200786866308,0.23457174178230675,0.2573419209159189,0.02277017913361215,0.2187022290028218,0.2671533919027652,0.23362806203905526,0.25518676681189373
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,3,10,0.23868044390060056,0.01909089476998944,0.2454535393087203,0.2396199496209987,0.24852218173851043,0.008902232117511732,0.1886113245380915,0.2545464799066502,0.22502364048607476,0.25233724731512636
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,4,10,0.2344540592435095,0.034219175299541445,0.23841633279693825,0.23616274862094538,0.24923692098764016,0.01307417236669478,0.1434028303974799,0.2680615461658563,0.20997513587698086,0.25893298261003816
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,5,10,0.22102017824921033,0.04415433397764641,0.22928814128570502,0.21970750237587705,0.24161161948354837,0.021904117107671317,0.1028465559228586,0.2629064395836175,0.18943407051056466,0.252606285987856
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,6,10,0.20248264192130142,0.05766614089695555,0.22021201525106548,0.18358314873633286,0.23070531035263844,0.047122161616305586,0.0585382342074506,0.263203943642971,0.1612307697910302,0.24373451405157262
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,7,10,0.180722930748577,0.0680579175790762,0.21078498030065815,0.14416342508974722,0.2213254476539514,0.07716202256420418,0.0302043437507605,0.2432394876453949,0.13203722940363388,0.22940863209352014
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,8,10,0.1613006782622098,0.08513659933367036,0.19773438094298446,0.09280777350354807,0.21553396972450187,0.12272619622095379,0.0249257876586386,0.269011282724955,0.10039762397955156,0.22220373254486808
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,9,10,0.14054018148508737,0.10101809603896454,0.15791054482282954,0.0603259500966115,0.21622178633204114,0.15589583623542963,0.0,0.2638693352921559,0.0682761888574339,0.21280417411274083
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,10,10,0.12558504923926192,0.0960096465190205,0.12829979505944936,0.03991062583649513,0.20971322232837386,0.16980259649187873,0.0,0.244274466651986,0.056903885563815274,0.19426621291470858
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,11,10,0.11637523505571583,0.08819609498986998,0.117336042870195,0.03875893527177755,0.1957173747375554,0.15695843946577787,0.0,0.2244348797477091,0.05328354942666329,0.17946692068476838
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,12,10,0.10778752400830789,0.08933629201967001,0.1077180695498759,0.030166142467003852,0.1908087410709293,0.16064259860392543,0.0,0.2250722150600417,0.043880190559841284,0.17169485745677449
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,13,10,0.09861649486945809,0.08510686914479387,0.0920554409520346,0.02412104453306105,0.1762837502803259,0.15216270574726484,0.0,0.2270852442573646,0.03773470828272791,0.15949828145618827
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,14,10,0.09129138458298237,0.08447686777362824,0.08651882689576496,0.01200243368526635,0.1470987993334206,0.13509636564815425,0.0,0.2376520662968616,0.030860273827875116,0.15172249533808962
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,15,10,0.09209992544813318,0.09214774425853431,0.0772753500081571,0.007924358106056,0.13886080851850127,0.13093645041244528,0.0,0.2423766680773148,0.026181400224839183,0.15801845067142717
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,16,10,0.08213437128899934,0.08772024972579721,0.0526170963082255,0.004081596116648275,0.1370894300858183,0.13300783396917004,0.0,0.2386840862300734,0.019383084855766078,0.1448856577222326
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,17,10,0.06355021288449036,0.09612228394517919,0.01584458949392965,0.0,0.08597774807961553,0.08597774807961553,0.0,0.2629261756942457,-0.005211526751627629,0.13231195252060834
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,18,10,0.05537748808967906,0.09060112289752473,0.00816319223329655,0.0,0.05398142999493118,0.05398142999493118,0.0,0.2419393889490355,-0.009434650862122973,0.12018962704148109
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,19,10,0.044676429300646435,0.07011861412304789,0.00816319223329655,0.0,0.053517740280345505,0.053517740280345505,0.0,0.2016679517314401,-0.005483405548099431,0.09483626414939231
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,20,10,0.034576031896124695,0.06484985120236796,0.0115111833716586,0.0,0.0306026826985329,0.0306026826985329,0.0,0.2117009636922904,-0.01181475701148594,0.08096682080373532
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,21,10,0.03753071340514947,0.05958819495196546,0.02184779617008445,0.000536603089846725,0.04046156173291575,0.039924958643069025,0.0,0.1965506792139822,-0.005096113366987225,0.08015754017728616
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,22,10,0.038500217936223,0.06251901494762227,0.02184779617008445,0.000536603089846725,0.033855259231508075,0.03331865614166135,0.0,0.2057412234728554,-0.006223191159910685,0.08322362703235668
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,23,10,0.03401148221678455,0.0603427936201943,0.0149424191179009,0.000536603089846725,0.0345146380152005,0.03397803492535378,0.0,0.19973620696611,-0.009155151923892255,0.07717811635746136
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,24,10,0.031694875246210404,0.05921035182278418,0.00539301537309175,0.0,0.03834842120906068,0.03834842120906068,0.0,0.1927036461842267,-0.010661658834099731,0.07405140932652055
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,25,10,0.03194806737672977,0.05443320079757074,0.00897311186828985,0.0,0.042430071131356925,0.042430071131356925,0.0,0.1766458943093841,-0.006991098726915522,0.07088723348037507
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,26,10,0.029258205576070912,0.04697601511673843,0.0,0.0,0.04480476943450015,0.04480476943450015,0.0,0.144624800610415,-0.004346411251820347,0.06286282240396217
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,27,10,0.03010887385312861,0.04512661741409995,0.0,0.0,0.045523554803422676,0.045523554803422676,0.0,0.1261935920110634,-0.002172763556327395,0.062390511262584616
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,28,10,0.030341597112275836,0.04123684116845822,0.0068551378852148,0.0,0.05195705377225422,0.05195705377225422,0.0,0.110941013484784,0.0008425380027499083,0.059840656221801763
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,29,10,0.03543515090777824,0.051871361342610556,0.0145730654915098,0.0,0.04772179922637625,0.04772179922637625,0.0,0.150562804015064,-0.0016713856498195082,0.07254168746537598
mean_pairwise_morphological_distance,arithmetic_recombination,arithmetic recombination,30,10,0.03968885038213741,0.06546581938595969,0.0,0.0,0.05115029774011017,0.05115029774011017,0.0,0.190184594545344,-0.00714257561945264,0.08652027638372746
