metric,experiment,run,crossover_type,crossover_label,n_generations,first_generation,last_generation,first_value,last_value,last_minus_first,slope_per_generation,intercept,r_value,r_squared,slope_p_value,slope_std_err
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,1,arithmetic_recombination,arithmetic recombination,50,0,49,0.2453907554340303,0.0,-0.2453907554340303,-0.00571303722502314,0.2074264160949302,-0.8373641933883514,0.7011787923689244,3.48648725238866e-14,0.00053831658150504
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,2,arithmetic_recombination,arithmetic recombination,50,0,49,0.2333374350795818,0.0,-0.2333374350795818,-0.0033958263571101494,0.13249973261764017,-0.6345779619887173,0.40268918984175395,7.469741372435805e-07,0.0005969528884149322
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,3,arithmetic_recombination,arithmetic recombination,50,0,49,0.2842629205797829,0.0339250099665543,-0.25033791061322863,-0.005803870602208305,0.2809954603699525,-0.8850602809309748,0.783331700881616,1.4750345877953117e-17,0.00044057711864745275
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,4,arithmetic_recombination,arithmetic recombination,50,0,49,0.2576770903603019,0.0,-0.2576770903603019,-0.005340370991453527,0.22152439321717374,-0.8716650029621611,0.7597998773890243,1.7772960599475173e-16,0.0004333989075729495
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,5,arithmetic_recombination,arithmetic recombination,50,0,49,0.2657844374037988,0.0,-0.2657844374037988,-0.00271871063958407,0.09224986380800587,-0.5924036154368753,0.35094204358268116,5.8398555789913786e-06,0.0005336621564281708
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,6,arithmetic_recombination,arithmetic recombination,50,0,49,0.2612230820625488,0.0,-0.2612230820625488,-0.004526543661010211,0.1883967053510563,-0.6773962850894848,0.4588657270530346,6.573777763855827e-08,0.000709505562979576
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,7,arithmetic_recombination,arithmetic recombination,50,0,49,0.2423217514144313,0.0,-0.2423217514144313,-0.004796247980245012,0.1729499286388584,-0.8124050882900239,0.6600020274795215,7.949640291341333e-13,0.0004968743060244738
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,8,arithmetic_recombination,arithmetic recombination,50,0,49,0.2516204963466174,0.0150482324311177,-0.23657226391549968,-0.005088111329133115,0.19768106258945525,-0.7949048149114826,0.6318736647694584,5.466900315028077e-12,0.0005605563835149622
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,9,arithmetic_recombination,arithmetic recombination,50,0,49,0.272272423664439,0.0784721594397088,-0.19380026422473018,-0.004415585328362483,0.24676793763496258,-0.7701139274282928,0.5930754612190298,6.238210523685956e-11,0.0005279218354446771
mean_pairwise_morphological_distance,flat_arithmetic_recombination_25pop_25off_50gen_1000steps,10,arithmetic_recombination,arithmetic recombination,50,0,49,0.2389585209520199,0.0090392733167676,-0.2299192476352523,-0.0037725753043760597,0.13088914802578533,-0.674456109525602,0.4548910436764108,7.867442918326486e-08,0.000596080980253845
